,Job_titles
2,Top Executives
4,Chief Executives
6,General and Operations Managers
8,Legislators
10,Advertising and Promotions Managers
12,Marketing and Sales Managers
14,Sales Managers
16,Public Relations and Fundraising Managers
18,Administrative Services Managers
20,Computer and Information Systems Managers
22,Financial Managers
24,Industrial Production Managers
26,Purchasing Managers
28,"Transportation, Storage, and Distribution Managers"
30,Compensation and Benefits Managers
32,Human Resources Managers
34,Training and Development Managers
36,Other Management Occupations
38,"Farmers, Ranchers, and Other Agricultural Managers"
40,Construction Managers
42,"Education Administrators, Preschool and Childcare Center/Program"
44,"Education Administrators, Postsecondary"
46,Architectural and Engineering Managers
48,Food Service Managers
50,Funeral Service Managers
52,Gaming Managers
54,Lodging Managers
56,Medical and Health Services Managers
58,Natural Sciences Managers
60,Postmasters and Mail Superintendents
62,"Property, Real Estate, and Community Association Managers"
64,Social and Community Service Managers
66,Emergency Management Directors
68,Miscellaneous Managers
70,Business and Financial Operations Occupations
72,"Agents and Business Managers of Artists, Performers, and Athletes"
74,Buyers and Purchasing Agents
76,"Claims Adjusters, Appraisers, Examiners, and Investigators"
78,"Insurance Appraisers, Auto Damage"
80,Compliance Officers
82,Cost Estimators
84,Human Resources Specialists
86,Labor Relations Specialists
88,Logisticians
90,Management Analysts
92,"Meeting, Convention, and Event Planners"
94,Fundraisers
96,"Compensation, Benefits, and Job Analysis Specialists"
98,Training and Development Specialists
100,Market Research Analysts and Marketing Specialists
102,"Business Operations Specialists, All Other"
104,Accountants and Auditors
106,Appraisers and Assessors of Real Estate
108,Budget Analysts
110,Credit Analysts
112,Financial Analysts and Advisors
114,Personal Financial Advisors
116,Financial Examiners
118,Credit Counselors and Loan Officers
120,Loan Officers
122,"Tax Examiners and Collectors, and Revenue Agents"
124,Miscellaneous Financial Specialists
126,Computer and Mathematical Occupations
128,Computer and Information Research Scientists
130,Computer and Information Analysts
132,Information Security Analysts
134,Computer Programmers
136,"Software Developers, Systems Software"
138,Database and Systems Administrators and Network Architects
140,Network and Computer Systems Administrators
142,Computer Support Specialists
144,Computer Network Support Specialists
146,"Computer Occupations, All Other"
148,Actuaries
150,Mathematicians
152,Operations Research Analysts
154,Statisticians
156,Miscellaneous Mathematical Science Occupations
158,Architecture and Engineering Occupations
160,"Architects, Except Naval"
162,Landscape Architects
164,Cartographers and Photogrammetrists
166,Engineers
168,Aerospace Engineers
170,Agricultural Engineers
172,Biomedical Engineers
174,Chemical Engineers
176,Civil Engineers
178,Computer Hardware Engineers
180,Electrical Engineers
182,Environmental Engineers
184,"Industrial Engineers, Including Health and Safety"
186,Industrial Engineers
188,Marine Engineers and Naval Architects
190,Materials Engineers
192,Mechanical Engineers
194,"Mining and Geological Engineers, Including Mining Safety Engineers"
196,Nuclear Engineers
198,Petroleum Engineers
200,"Engineers, All Other"
202,Drafters
204,Electrical and Electronics Drafters
206,"Drafters, All Other"
208,Aerospace Engineering and Operations Technicians
210,Electrical and Electronics Engineering Technicians
212,Environmental Engineering Technicians
214,Mechanical Engineering Technicians
216,Surveying and Mapping Technicians
218,"Life, Physical, and Social Science Occupations"
220,Agricultural and Food Scientists
222,Food Scientists and Technologists
